bucket	lib	class	type	name	3.03.13.23.33.44.0
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	find_matching	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	legacy_repos	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	list	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	load_specs	XXXXXX
always-ng	rubygems/spec_fetcher	Gem::SpecFetcher	#	warn_legacy	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	array_attribute	XXXXXX
always-ng	rubygems/specification	Gem::Specification	#	assign_defaults	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	attribute	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	attribute_alias_singular	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	attribute_defaults	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	attributes	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	default_value	XXXXXX
always-ng	rubygems/specification	Gem::Specification	#	installation_path	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	list	XXXXXX
always-ng	rubygems/specification	Gem::Specification	#	loaded=	XXXXXX
always-ng	rubygems/specification	Gem::Specification	#	loaded?	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	overwrite_accessor	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	read_only	XXXXXX
always-ng	rubygems/specification	Gem::Specification	.	required_attribute	XXXXXX
always-ng	rubygems/specification	Gem::Specification	#	test_suite_file	XXXXXX
always-ng	rubygems/specification	Gem::Specification	#	test_suite_file=	XXXXXX
always-ng	rubygems/validator	Gem::Validator	#	remove_leading_dot_dir	XXXXXX
always-ng	rubygems/validator	Gem::Validator	#	unit_test	XXXXXX
always-ng	rubygems/validator	Gem::Validator	#	verify_gem	XXXXXX
always-ng	rubygems/validator	Gem::Validator	#	verify_gem_file	XXXXXX
always-ng	singleton	Singleton	.	instance	XXXXXX
always-ng	socket	SOCKSSocket	#	close	CCCCCC
always-ng	socket	SOCKSSocket	.	new	CCCCCC
always-ng	socket	SOCKSSocket	.	open	CCCCCC
always-ng	socket	Socket::Ifaddr	#	vhid	XXXXXX
always-ng	strscan	StringScanner	#	matchedsize	XXXXXX
always-ng	syslog	Syslog::Facility	::	LOG_CONSOLE	XXXXXX
always-ng	syslog	Syslog::Facility	::	LOG_NTP	XXXXXX
always-ng	syslog	Syslog::Facility	::	LOG_SECURITY	XXXXXX
always-ng	yaml/dbm	YAML::DBM	::	VERSION	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	[]	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	[]=	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	delete	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	delete_if	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	each	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	each_pair	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	each_value	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	fetch	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	has_value?	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	index	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	invert	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	key	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	reject	rrrrCC
always-ng	yaml/dbm	YAML::DBM	#	replace	rrrrCC
